Termo;DocID;TF-IDF
TOTAL;00356;0.33447777295997905
TOTAL;00369;0.08027466551039497
TOTAL;00370;0.08027466551039497
TOTAL;00375;0.25802571056912665
TOTAL;00409;0.24082399653118491
TOTAL;00410;0.10946545296872041
TOTAL;00424;0.09262461405045574
TOTAL;00427;0.40137332755197486
TOTAL;00462;0.06689555459199581
TOTAL;00463;0.10034333188799371
TOTAL;00530;0.10034333188799371
TOTAL;00536;0.30102999566398114
TOTAL;00561;0.30102999566398114
TOTAL;00575;0.10034333188799371
AMYLASE;00356;0.38777930802634386
AMYLASE;00367;0.27920110177896756
AMYLASE;00375;0.5982880752406448
AMYLASE;00419;0.34900137722370944
AMYLASE;00421;0.08725034430592736
AMYLASE;00462;0.4653351696316126
AMYLASE;00526;0.27920110177896756
AMYLASE;00527;0.1551117232105375
AMYLASE;00535;0.11633379240790315
ACTIVITY;00356;0.2816993466714189
ACTIVITY;00375;0.060364145715304046
ACTIVITY;00379;0.10563725500178209
ACTIVITY;00380;0.2816993466714189
ACTIVITY;00390;0.2816993466714189
ACTIVITY;00405;0.14084967333570944
ACTIVITY;00406;0.14084967333570944
ACTIVITY;00410;0.07682709454675062
ACTIVITY;00411;0.04971164941260334
ACTIVITY;00421;0.31691176500534624
ACTIVITY;00466;0.3380392160057027
ACTIVITY;00467;0.10563725500178209
ACTIVITY;00468;0.10563725500178209
ACTIVITY;00481;0.14084967333570944
ACTIVITY;00482;0.14084967333570944
ACTIVITY;00483;0.14084967333570944
ACTIVITY;00484;0.14084967333570944
ACTIVITY;00485;0.14084967333570944
ACTIVITY;00521;0.24855824706301669
ACTIVITY;00524;0.0938997822238063
ACTIVITY;00525;0.0938997822238063
ACTIVITY;00528;0.16901960800285135
ACTIVITY;00529;0.16901960800285135
ACTIVITY;00530;0.2816993466714189
ACTIVITY;00531;0.0650075415395582
ACTIVITY;00532;0.08450980400142567
ACTIVITY;00535;0.14084967333570944
ACTIVITY;00553;0.21127451000356418
ACTIVITY;00564;0.0938997822238063
ACTIVITY;00572;0.2304812836402518
ACTIVITY;00574;0.16901960800285135
ACTIVITY;00575;0.21127451000356418
OF;00356;0.002723306526123457
OF;00357;0.005882342096426666
OF;00358;0.004575154963887407
OF;00359;0.004575154963887407
OF;00360;0.004575154963887407
OF;00361;0.009803903494044443
OF;00362;0.009803903494044443
OF;00363;0.009803903494044443
OF;00364;0.005446613052246914
OF;00365;0.006535935662696295
OF;00366;0.00816991957837037
OF;00367;0.007843122795235555
OF;00368;0.009803903494044443
OF;00369;0.009150309927774814
OF;00370;0.009150309927774814
OF;00371;0.0035650558160161615
OF;00372;0.00904975707142564
OF;00373;0.00904975707142564
OF;00374;0.002178645220898765
OF;00375;0.004901951747022222
OF;00376;0.009803903494044443
OF;00377;0.009803903494044443
OF;00378;0.004901951747022222
OF;00379;0.009803903494044443
OF;00380;0.006535935662696295
OF;00381;0.0032679678313481475
OF;00382;0.009803903494044443
OF;00383;0.0030165856904752135
OF;00384;0.0030165856904752135
OF;00385;0.0014005576420063489
OF;00386;0.00816991957837037
OF;00387;0.007002788210031746
OF;00388;0.009803903494044443
OF;00389;0.009803903494044443
OF;00390;0.0032679678313481475
OF;00391;0.001960780698808889
OF;00392;0.001960780698808889
OF;00393;0.005718943704859259
OF;00394;0.009803903494044443
OF;00395;0.009803903494044443
OF;00396;0.004901951747022222
OF;00397;0.004901951747022222
OF;00398;0.004901951747022222
OF;00399;0.0032679678313481475
OF;00400;0.008912639540040403
OF;00401;0.004901951747022222
OF;00402;0.009803903494044443
OF;00403;0.005882342096426666
OF;00404;0.003921561397617778
OF;00405;0.009803903494044443
OF;00406;0.009803903494044443
OF;00407;0.009803903494044443
OF;00408;0.007352927620533333
OF;00409;0.001960780698808889
OF;00410;0.008021375586036363
